title	link	guid	category	description	pubDate
Directorate of Sugarcane Development	http://dsd.dacnet.nic.in	http://dsd.dacnet.nic.in	Attached Offices	Directorate of Sugarcane Development	Thu, 14 Jan 2016 12:00:00 +0530
Central Institute of Fisheries Nautical and Enggineering Training (CIFNET)	http://cifnet.nic.in	http://cifnet.nic.in	Subordinate Offices	Central Institute of Fisheries Nautical and Enggineering Training (CIFNET)	Fri, 25 Feb 2000 12:00:00 +0530
Delhi Milk Scheme	http://dms.gov.in	http://dms.gov.in	Subordinate Offices	Delhi Milk Scheme	Wed, 13 Jan 2016 12:00:00 +0530
Central Institute of Coastal Engineering for Fishery, Bangalore	http://cicef.gov.in	http://cicef.gov.in	Subordinate Offices	Central Institute of Coastal Engineering for Fishery, Bangalore	Wed, 13 Jan 2016 12:00:00 +0530
Soil and Land Use Survey of India	http://slusi.dacnet.nic.in	http://slusi.dacnet.nic.in	Subordinate Offices	Soil and Land Use Survey of India	Wed, 13 Jan 2016 12:00:00 +0530
Central Sheep Breeding Farm,Hisar	http://csbfhsr.com	http://csbfhsr.com	Subordinate Offices	Central Sheep Breeding Farm,Hisar	Wed, 13 Jan 2016 12:00:00 +0530
National Centre for Cold-chain Development (NCCD)	http://nccd.gov.in	http://nccd.gov.in	Autonomous / Apex Institutions	National Centre for Cold-chain Development (NCCD)	Tue, 11 Aug 2015 12:00:00 +0530
National Institute of Agricultural Extension Management (MANAGE)	http://www.manage.gov.in	http://www.manage.gov.in	Autonomous / Apex Institutions	National Institute of Agricultural Extension Management (MANAGE)	Wed, 29 Nov 2000 12:00:00 +0530
Central Farm Machinery Training and Testing Institute, Budni	http://fmttibudni.gov.in	http://fmttibudni.gov.in	Autonomous / Apex Institutions	Website of Central Farm Machinery Training and Testing Institute, Budni, Madhya Pradesh	Tue, 04 Mar 2008 12:00:00 +0530
Directorate of Sorghum Research (DSR) formerly, National Research Centre for Sorghum (NRCS), Andhra Pradesh	http://www.sorghum.res.in	http://www.sorghum.res.in	Autonomous / Apex Institutions	Directorate of Sorghum Research (DSR) formerly, National Research Centre for Sorghum (NRCS), Andhra Pradesh 	Fri, 03 Dec 2010 12:00:00 +0530
Central Institute of Horticulture, Nagaland	http://www.cihner.org.in	http://www.cihner.org.in	Autonomous / Apex Institutions	Central Institute of Horticulture, Nagaland	Mon, 07 Mar 2016 12:00:00 +0530
National Centre for Integrated Pest Management (NCIPM)	http://www.ncipm.org.in	http://www.ncipm.org.in	Autonomous / Apex Institutions	National Centre for Integrated Pest Management (NCIPM), a national research centre of Indian Council of Agricultural Research (ICAR)	Wed, 10 Nov 2010 12:00:00 +0530
National Institute of Plant Health Management (NIPHM)	http://niphm.gov.in	http://niphm.gov.in	Autonomous / Apex Institutions	National Institute of Plant Health Management (NIPHM) 	Tue, 18 Oct 2016 12:00:00 +0530
Agricultural Scientists Recruitment Board (ASRB), New Delhi	http://www.asrb.org.in	http://www.asrb.org.in	Autonomous / Apex Institutions	Agricultural Scientists Recruitment Board (ASRB), New Delhi	Tue, 23 Aug 2011 12:00:00 +0530
Directorate of Weed Science Research (DWSR), Maharajpur, Jabalpur	http://www.nrcws.org	http://www.nrcws.org	Autonomous / Apex Institutions	Directorate of Weed Science Research (DWSR), Maharajpur, Jabalpur	Fri, 25 Feb 2000 12:00:00 +0530
National Institute of Agricultural Marketing (NIAM)	http://ccsniam.gov.in	http://ccsniam.gov.in	Autonomous / Apex Institutions	National Institute of Agricultural Marketing (NIAM)	Fri, 27 Feb 2004 12:00:00 +0530
National Dairy Research Institute, Karnal, Haryana	http://www.ndri.res.in	http://www.ndri.res.in	Autonomous / Apex Institutions	National Dairy Research Institute, Karnal, Haryana	Thu, 11 Nov 2010 12:00:00 +0530
National Research Centre on Plant Biotechnology - Indian Agricultural Research Institute, New Delhi	http://www.nrcpb.res.in	http://www.nrcpb.res.in	Academies / Institutions (Grant in Aid)	National Research Centre on Plant Biotechnology - Indian Agricultural Research Institute, New Delhi	Thu, 11 Nov 2010 12:00:00 +0530
ICAR-Central Citrus Research Institute (CCRI), Nagpur, Maharashtra	http://www.ccringp.org.in/ccringp	http://www.ccringp.org.in/ccringp	Academies / Institutions (Grant in Aid)	ICAR-Central Citrus Research Institute (CCRI), Nagpur, Maharashtra	Thu, 11 Nov 2010 12:00:00 +0530
National Research Centre for Banana (NRCB), Tiruchirapalli, Tamil Nadu	http://nrcb.res.in	http://nrcb.res.in	Academies / Institutions (Grant in Aid)	National Research Centre for Banana (NRCB), Tiruchirapalli, Tamil Nadu  	Thu, 11 Nov 2010 12:00:00 +0530
National Research Centre for Soybean, Indore	http://nrcsoya.nic.in	http://nrcsoya.nic.in	Academies / Institutions (Grant in Aid)	Website of National Research Centre for Soybean, Indore	Fri, 23 Nov 2007 12:00:00 +0530
National Bureau of Fish Genetic Resources (NBFGR), Lucknow, Uttar Pradesh	http://www.nbfgr.res.in	http://www.nbfgr.res.in	Academies / Institutions (Grant in Aid)	National Bureau of Fish Genetic Resources (NBFGR), Lucknow, Uttar Pradesh	Thu, 11 Nov 2010 12:00:00 +0530
National Bureau of Animal Genetic Resources (NBAGR), Karnal, Haryana	http://www.nbagr.res.in	http://www.nbagr.res.in	Academies / Institutions (Grant in Aid)	National Bureau of Animal Genetic Resources (NBAGR), Karnal, Haryana	Thu, 11 Nov 2010 12:00:00 +0530
Central Potato Research Institute, Shimla	http://cpri.ernet.in	http://cpri.ernet.in	Academies / Institutions (Grant in Aid)	Central Potato Research Institute, Shimla	Sat, 23 Jul 2011 12:00:00 +0530
National Institute of Fisheries Post Harvest Technology and Training (NIFPHATT), Kerala	http://ifpkochi.gov.in	http://ifpkochi.gov.in	Academies / Institutions (Grant in Aid)	National Institute of Fisheries Post Harvest Technology and Training (NIFPHATT), Kerala	Thu, 17 Mar 2011 12:00:00 +0530
PG School, Indian Agricultural Research Institute (IARI) Managment System	http://pgs.iasri.res.in	http://pgs.iasri.res.in	Academies / Institutions (Grant in Aid)	PG School, Indian Agricultural Research Institute (IARI) Managment System	Sat, 04 Dec 2010 12:00:00 +0530
DNS Regional Institute of Cooperative Management, Patna	http://ricmpatna.bih.nic.in	http://ricmpatna.bih.nic.in	Academies / Institutions (Grant in Aid)	DNS Regional Institute of Cooperative Management, Patna	Fri, 04 Feb 2011 12:00:00 +0530
Krishi Vigyan Kendra, Central Agricultural University, Aizawl, Mizoram	http://www.kvkaizawl.nic.in	http://www.kvkaizawl.nic.in	Academies / Institutions (Grant in Aid)	Krishi Vigyan Kendra, Central Agricultural University, Aizawl, Mizoram	Mon, 06 Dec 2010 12:00:00 +0530
Institute of Co-operative Management, Pune, Maharashtra	http://www.icmpune.org	http://www.icmpune.org	Academies / Institutions (Grant in Aid)	Institute of Co-operative Management, Pune, Maharashtra	Fri, 04 Feb 2011 12:00:00 +0530
Indira Gandhi Institute of Co-operative Management, Lucknow	http://icmlko.up.nic.in	http://icmlko.up.nic.in	Academies / Institutions (Grant in Aid)	Indira Gandhi Institute of Co-operative Management, Lucknow	Sat, 23 Jan 2010 12:00:00 +0530
National Council for Co-operative Training (NCCT)	http://ncct.ac.in	http://ncct.ac.in	Academies / Institutions (Grant in Aid)	National Council for Co-operative Training (NCCT)	Fri, 12 Jun 2015 12:00:00 +0530
Institute of Cooperative Management(ICM), Guwahati	http://icmguwahati.gov.in	http://icmguwahati.gov.in	Academies / Institutions (Grant in Aid)	Institute of Cooperative Management(ICM), Guwahati	Thu, 12 Apr 2007 12:00:00 +0530
Natesan Institute of Co-Operative Management (NICM), Chennai	http://nicmchennai.in	http://nicmchennai.in	Academies / Institutions (Grant in Aid)	Natesan Institute of Co-Operative Management (NICM), Chennai 	Fri, 04 Feb 2011 12:00:00 +0530
Madhusudan Institute of Co-operative Management (MICM), Bhubaneswar	http://icmbhubaneswar.nic.in	http://icmbhubaneswar.nic.in	Academies / Institutions (Grant in Aid)	Madhusudan Institute of Co-operative Management (MICM), Bhubaneswar	Tue, 26 Oct 2004 12:00:00 +0530
Netaji Subhas Regional Institute of Cooperative Management (NSRICM), Kalyani, West Bengal	http://www.nsricm.com	http://www.nsricm.com	Academies / Institutions (Grant in Aid)	Netaji Subhas Regional Institute of Cooperative Management (NSRICM), Kalyani, West Bengal	Fri, 04 Feb 2011 12:00:00 +0530
Indira Gandhi Agricultural University, Raipur	http://igau.edu.in	http://igau.edu.in	Academies / Institutions (Grant in Aid)	Indira Gandhi Agricultural University, Raipur	Mon, 24 Jan 2011 12:00:00 +0530
Institute of Cooperative Management, Jaipur	http://icmjaipur.nic.in	http://icmjaipur.nic.in	Academies / Institutions (Grant in Aid)	Institute of Cooperative Management, Jaipur	Thu, 03 Feb 2011 12:00:00 +0530
Institute of Co-Operative Management (ICM), Imphal, Manipur	http://icmimphal.org	http://icmimphal.org	Academies / Institutions (Grant in Aid)	Institute of Co-Operative Management (ICM), Imphal, Manipur	Sat, 27 Apr 2013 12:00:00 +0530
Indian Institute of Spices Research (IISR), Calicut, Kerala	http://www.spices.res.in	http://www.spices.res.in	Academies / Institutions (Grant in Aid)	Indian Institute of Spices Research (IISR), Calicut, Kerala 	Thu, 11 Nov 2010 12:00:00 +0530
Institute of Co-operative Management (ICM), Bhopal, Madhya Pradesh.	http://www.icmbpl.com	http://www.icmbpl.com	Academies / Institutions (Grant in Aid)	Institute of Co-operative Management (ICM), Bhopal, Madhya Pradesh.	Tue, 23 May 2006 12:00:00 +0530
ICAR Research Complex for NEH Region, Nagaland Centre, Jharnapani, Medziphema	http://icarnagaland.nic.in	http://icarnagaland.nic.in	Academies / Institutions (Grant in Aid)	ICAR Research Complex for NEH Region, Nagaland Centre, Jharnapani, Medziphema	Thu, 31 Jul 2014 12:00:00 +0530
ICAR Research Complex for Eastern Region (ICAR-RCER), Patna, Bihar	http://icarrcer.in	http://icarrcer.in	Academies / Institutions (Grant in Aid)	ICAR Research Complex for Eastern Region (ICAR-RCER), Patna, Bihar	Thu, 11 Nov 2010 12:00:00 +0530
Krishi Vigyan Kendra (KVK), North Tripura, Panisagar	http://kvknorthtripura.nic.in	http://kvknorthtripura.nic.in	Academies / Institutions (Grant in Aid)	Krishi Vigyan Kendra (KVK), North Tripura, Panisagar	Wed, 13 Feb 2013 12:00:00 +0530
Krishi Vigyan Kendra (KVK), Bhaderwah, Jammu and Kashmir	http://kvkdoda.nic.in	http://kvkdoda.nic.in	Academies / Institutions (Grant in Aid)	Krishi Vigyan Kendra (KVK), Bhaderwah, Jammu and Kashmir	Fri, 05 Jul 2013 12:00:00 +0530
Institute of Co-operative Management, Dehradun,  Uttarakhand	http://www.icmdehradun.org	http://www.icmdehradun.org	Academies / Institutions (Grant in Aid)	Institute of Co-operative Management, Dehradun,  Uttarakhand	Fri, 04 Feb 2011 12:00:00 +0530
Central Research Institute for Dryland Agriculture (CRIDA), ICAR, Hyderabad	http://www.crida.in	http://www.crida.in	Academies / Institutions (Grant in Aid)	Central Research Institute for Dryland Agriculture (CRIDA), ICAR, Hyderabad	Mon, 18 Aug 2014 12:00:00 +0530
Central Institute of Fisheries Education (CIFE), Mumbai	http://www.cife.edu.in	http://www.cife.edu.in	Academies / Institutions (Grant in Aid)	Central Institute of Fisheries Education (CIFE), Mumbai	Wed, 27 Sep 2000 12:00:00 +0530
Central Soil And Water Conservation Research and Training Institute, Dehra Dun, Uttarakhand	http://www.cswcrtiweb.org	http://www.cswcrtiweb.org	Academies / Institutions (Grant in Aid)	Central Soil And Water Conservation Research and Training Institute, Dehra Dun, Uttarakhand	Thu, 11 Nov 2010 12:00:00 +0530
Krishi Vigyan Kendra (KVK),  Rajouri, Jammu and Kashmir	http://kvkrajouri.nic.in	http://kvkrajouri.nic.in	Academies / Institutions (Grant in Aid)	Krishi Vigyan Kendra (KVK),  Rajouri, Jammu and Kashmir	Mon, 27 Aug 2012 12:00:00 +0530
National Research Centre for Orchids (NRCO), ICAR, Sikkim	http://nrcorchids.nic.in	http://nrcorchids.nic.in	Academies / Institutions (Grant in Aid)	National Research Centre for Orchids (NRCO), ICAR, Sikkim	Mon, 08 Jul 2013 12:00:00 +0530
Institute of Cooperative Management Madurai	http://icmmadurai.in	http://icmmadurai.in	Academies / Institutions (Grant in Aid)	Institute of Cooperative Management Madurai	Wed, 24 Mar 2010 12:00:00 +0530
National Centre of Organic Farming	http://ncof.dacnet.nic.in	http://ncof.dacnet.nic.in	Academies / Institutions (Grant in Aid)	National Project on Organic Farming (NPOF)	Wed, 23 Jan 2008 12:00:00 +0530
Krishi Vigyan Kendra, Ri-Bhoi, Meghalaya	http://kvkribhoi.nic.in	http://kvkribhoi.nic.in	Academies / Institutions (Grant in Aid)	Krishi Vigyan Kendra, Ri-Bhoi, Meghalaya	Fri, 11 Sep 2009 12:00:00 +0530
ICAR Research Complex for NEH Region, Tripura	http://tripuraicar.nic.in	http://tripuraicar.nic.in	Academies / Institutions (Grant in Aid)	ICAR Research Complex for NEH Region, Tripura	Mon, 25 Jun 2012 12:00:00 +0530
Rani Lakshmi Bai Central Agricultural University	http://www.rlbcau.ac.in	http://www.rlbcau.ac.in	Academies / Institutions (Grant in Aid)	Rani Lakshmi Bai Central Agricultural University	Thu, 14 Jan 2016 12:00:00 +0530
Krishi Vigyan Kendra (KVK), Dimapur, Nagaland	http://kvkdimapur.nic.in	http://kvkdimapur.nic.in	Academies / Institutions (Grant in Aid)	Krishi Vigyan Kendra (KVK), Dimapur, Nagaland	Sat, 28 Aug 2010 12:00:00 +0530
College of Fisheries Lembucherra, Tripura, Central Agricultural University, Imphal	http://cofcau.nic.in	http://cofcau.nic.in	Academies / Institutions (Grant in Aid)	College of Fisheries	Thu, 29 Dec 2011 12:00:00 +0530
Central Agricultural University, Imphal, Manipur	http://www.cau.ac.in	http://www.cau.ac.in	Academies / Institutions (Grant in Aid)	Central Agricultural University, Imphal, Manipur	Thu, 28 Oct 2010 12:00:00 +0530
Krishi Vigyan Kendra (KVK), Hailakandi, Assam	http://kvkhailakandi.nic.in	http://kvkhailakandi.nic.in	Academies / Institutions (Grant in Aid)	Krishi Vigyan Kendra (KVK), Hailakandi, Assam	Thu, 07 Jun 2012 12:00:00 +0530
Central Tobacco Research Institute, Rajahmundry, Andhra Pradesh	http://www.ctri.org.in	http://www.ctri.org.in	Academies / Institutions (Grant in Aid)	Central Tobacco Research Institute, Rajahmundry, Andhra Pradesh 	Thu, 11 Nov 2010 12:00:00 +0530
National Institute of Animal Nutrition and Physiology (NIANP), Bangalore, Karnataka	http://www.nianp.res.in	http://www.nianp.res.in	Academies / Institutions (Grant in Aid)	National Institute of Animal Nutrition and Physiology (NIANP), Bangalore, Karnataka	Thu, 11 Nov 2010 12:00:00 +0530
National Research Centre on Pomegranate (ICAR), Solapur, Maharashtra	http://nrcpomegranate.org	http://nrcpomegranate.org	Academies / Institutions (Grant in Aid)	National Research Centre on Pomegranate (ICAR), Solapur, Maharashtra	Thu, 11 Nov 2010 12:00:00 +0530
Central Institute for Subtropical Horticulture (CISH), Lucknow, Uttar Pradesh	http://www.cishlko.org	http://www.cishlko.org	Academies / Institutions (Grant in Aid)	Central Institute for Subtropical Horticulture (CISH), Lucknow, Uttar Pradesh	Thu, 11 Nov 2010 12:00:00 +0530
Central Inland Fisheries Research Institute, Kolkata, West Bengal	http://www.cifri.ernet.in	http://www.cifri.ernet.in	Academies / Institutions (Grant in Aid)	Central Inland Fisheries Research Institute, Kolkata, West Bengal 	Thu, 11 Nov 2010 12:00:00 +0530
Central Institute of Fisheries Technology (CIFT), Cochin, Kerala	http://www.cift.res.in	http://www.cift.res.in	Academies / Institutions (Grant in Aid)	Central Institute of Fisheries Technology (CIFT), Cochin, Kerala	Thu, 11 Nov 2010 12:00:00 +0530
National Research Center on Camel (NRCC), Bikaner, Rajasthan	http://nrccamel.res.in	http://nrccamel.res.in	Academies / Institutions (Grant in Aid)	National Research Center on Camel (NRCC), Bikaner, Rajasthan	Thu, 11 Nov 2010 12:00:00 +0530
National Research Center on Meat, Hyderabad, Andhra Pradesh	http://www.nrcmeat.org.in	http://www.nrcmeat.org.in	Academies / Institutions (Grant in Aid)	National Research Center on Meat, Hyderabad, Andhra Pradesh	Thu, 11 Nov 2010 12:00:00 +0530
Vaikunth Mehta National Institute of Co-operative Management, Pune	http://www.vamnicom.gov.in	http://www.vamnicom.gov.in	Academies / Institutions (Grant in Aid)	Vaikunth Mehta National Institute of Co-operative Management, Pune	Fri, 04 Feb 2011 12:00:00 +0530
National Institute of Aboitic Stress Management, Malegaon, Maharashtra	http://www.niam.res.in	http://www.niam.res.in	Academies / Institutions (Grant in Aid)	National Institute of Aboitic Stress Management, Malegaon, Maharashtra	Fri, 03 Dec 2010 12:00:00 +0530
Bioinformatics Centre, Indian Institute of Spices Research (IISR), Calicut	http://www.spicebioinfo.res.in	http://www.spicebioinfo.res.in	Academies / Institutions (Grant in Aid)	Bioinformatics Centre,	Sat, 04 Dec 2010 12:00:00 +0530
Indian Agricultural Statistics Research Institute (IASRI)	http://www.iasri.res.in	http://www.iasri.res.in	Academies / Institutions (Grant in Aid)	Indian Agricultural Statistics Research Institute (IASRI)	Fri, 25 Feb 2000 12:00:00 +0530
Krishi Vigyan Kendra(KVK), West Garo Hills, Meghalaya	http://kvkwestgarohills.nic.in	http://kvkwestgarohills.nic.in	Academies / Institutions (Grant in Aid)	Krishi Vigyan Kendra(KVK), West Garo Hills, Meghalaya	Thu, 24 Mar 2011 12:00:00 +0530
National Research Centre on Mithun (NRCM), Dimapur, Nagaland	http://www.nrcmithun.res.in	http://www.nrcmithun.res.in	Academies / Institutions (Grant in Aid)	National Research Centre on Mithun (NRCM), Dimapur, Nagaland	Thu, 11 Nov 2010 12:00:00 +0530
National Institute of Research on Jute  and  Allied Fibre Technology (NIRJAFT)	http://www.nirjaft.res.in	http://www.nirjaft.res.in	Academies / Institutions (Grant in Aid)	National Institute of Research on Jute &amp; Allied Fibre Technology (NIRJAFT) 	Thu, 02 Dec 2010 12:00:00 +0530
Agrinnovate India	http://agrinnovateindia.co.in	http://agrinnovateindia.co.in	Companies	Agrinnovate India	Mon, 18 Jan 2016 12:00:00 +0530
National Institute of High Security Animal Diseases (NIHSAD), ICAR	http://www.nihsad.nic.in	http://www.nihsad.nic.in	Apex / Autonomous Bodies / Organisations	National Institute of High Security Animal Diseases (NIHSAD), ICAR	Tue, 05 Jul 2016 12:00:00 +0530
National Mission on Oilseeds and Oil Palm (NMOOP), Ministry of Agriculture	http://nmoop.gov.in	http://nmoop.gov.in	Commissions/Committees/Missions	National Mission on Oilseeds and Oil Palm (NMOOP), Ministry of Agriculture	Thu, 16 Jul 2015 12:00:00 +0530
National Horticulture Mission	http://nhm.nic.in	http://nhm.nic.in	Commissions/Committees/Missions	National Horticulture Mission	Mon, 19 Dec 2005 12:00:00 +0530
Commission for Agricultural Costs and Prices (CACP)	http://cacp.dacnet.nic.in	http://cacp.dacnet.nic.in	Commissions/Committees/Missions	Commission for Agricultural Costs and Prices (CACP)	Tue, 15 Nov 2011 12:00:00 +0530
Central Research Institute for Jute and Allied Fibres (CRIJAF)	http://www.crijaf.org.in	http://www.crijaf.org.in	Regional/Field Offices	Central Research Institute for Jute and Allied Fibres (CRIJAF)	Fri, 10 Nov 2000 12:00:00 +0530
Krishi Vigyan Kendra (KVK), Sikkim	http://kvkeastsikkim.nic.in	http://kvkeastsikkim.nic.in	Regional/Field Offices	Krishi Vigyan Kendra (KVK), Sikkim	Wed, 03 Oct 2012 12:00:00 +0530
Krishi Vigyan Kendra (KVK), Reasi, Jammu and Kashmir	http://kvkreasi.nic.in	http://kvkreasi.nic.in	Regional/Field Offices	Krishi Vigyan Kendra (KVK), Reasi, Jammu and Kashmir	Wed, 03 Oct 2012 12:00:00 +0530
Central Coastal Agricultural Research Institute, GOA	http://www.ccari.res.in	http://www.ccari.res.in	Regional/Field Offices	Central Coastal Agricultural Research Institute, GOA	Wed, 18 Sep 2002 12:00:00 +0530
Central Institute of Agricultural Engineering (CIAE)	http://www.ciae.nic.in	http://www.ciae.nic.in	Regional/Field Offices	Central Institute of Agricultural Engineering (CIAE)	Fri, 25 Feb 2000 12:00:00 +0530
Library and Bioinformatics Centre, CPCRI	http://www.bioinfcpcri.org	http://www.bioinfcpcri.org	Regional/Field Offices	Library and Bioinformatics Centre, CPCRI	Mon, 12 Jun 2000 12:00:00 +0530
National Centre for Agricultural Economics and Policy Research (NCAP)	http://www.ncap.res.in	http://www.ncap.res.in	Regional/Field Offices	National Centre for Agricultural Economics and Policy Research (NCAP)	Wed, 27 Sep 2000 12:00:00 +0530
Agriculture Marketing Information System Network (AGMARKNET)	http://agmarknet.gov.in	http://agmarknet.gov.in	Regional/Field Offices	Agriculture Marketing Information System Network (AGMARKNET)	Tue, 10 Jul 2001 12:00:00 +0530
Indian Institute of Horticultural Research (IIHR)	http://www.iihr.res.in	http://www.iihr.res.in	Regional/Field Offices	Indian Institute of Horticultural Research (IIHR)	Tue, 10 Jul 2001 12:00:00 +0530
Sugarcane Breeding Institute, Coimbatore	http://www.sugarcane.res.in	http://www.sugarcane.res.in	Regional/Field Offices	Sugarcane Breeding Institute, Coimbatore	Fri, 24 Jan 2003 12:00:00 +0530
Indian Institute of Sugarcane Research (IISR)	http://iisr.nic.in	http://iisr.nic.in	Regional/Field Offices	Indian Institute of Sugarcane Research (IISR)	Tue, 02 Nov 2004 12:00:00 +0530
Agricultural Resources Information System (AgRIS)	http://agris.nic.in	http://agris.nic.in	Regional/Field Offices	Agricultural Resources Information System (AgRIS)	Fri, 26 Aug 2005 12:00:00 +0530
Krishi Vigyan Kendra Pentok, Mangan, Sikkim	http://kvknorthsikkim.gov.in	http://kvknorthsikkim.gov.in	Regional/Field Offices	Krishi Vigyan Kendra Pentok, Mangan, Sikkim	Thu, 21 Jun 2012 12:00:00 +0530
ICAR Zonal Co-ordinating Unit Zone-III, NEH Region	http://icarzcu3.gov.in	http://icarzcu3.gov.in	Regional/Field Offices	ICAR Zonal Co-ordinating Unit Zone-III, NEH Region	Mon, 30 Jul 2007 12:00:00 +0530
Central Institute for Cotton Research (CICR), Nagpur, Maharashtra	http://www.cicr.org.in	http://www.cicr.org.in	Regional/Field Offices	Central Institute for Cotton Research (CICR), Nagpur, Maharashtra	Fri, 24 Jan 2003 12:00:00 +0530
Central Marine Fisheries Research Institute (CMFRI), Kochi, Kerala	http://www.cmfri.org.in	http://www.cmfri.org.in	Regional/Field Offices	Central Marine Fisheries Research Institute (CMFRI), Kochi, Kerala	Wed, 21 Mar 2001 12:00:00 +0530
Coastal Aquaculture Authority	http://caa.gov.in	http://caa.gov.in	Regional/Field Offices	Coastal Aquaculture Authority	Tue, 23 Nov 2010 12:00:00 +0530
